StartTime,B01_DE,B01_DK,B01_HU,B01_IT,B01_NE,B01_PO,B01_SE,B01_SP,B01_UK,B09_DE,B09_DK,B09_HU,B09_IT,B09_NE,B09_PO,B09_SE,B09_SP,B09_UK,B10_DE,B10_DK,B10_HU,B10_IT,B10_NE,B10_PO,B10_SE,B10_SP,B10_UK,B11_DE,B11_DK,B11_HU,B11_IT,B11_NE,B11_PO,B11_SE,B11_SP,B11_UK,B12_DE,B12_DK,B12_HU,B12_IT,B12_NE,B12_PO,B12_SE,B12_SP,B12_UK,B13_DE,B13_DK,B13_HU,B13_IT,B13_NE,B13_PO,B13_SE,B13_SP,B13_UK,B15_DE,B15_DK,B15_HU,B15_IT,B15_NE,B15_PO,B15_SE,B15_SP,B15_UK,B16_DE,B16_DK,B16_HU,B16_IT,B16_NE,B16_PO,B16_SE,B16_SP,B16_UK,B18_DE,B18_DK,B18_HU,B18_IT,B18_NE,B18_PO,B18_SE,B18_SP,B18_UK,B19_DE,B19_DK,B19_HU,B19_IT,B19_NE,B19_PO,B19_SE,B19_SP,B19_UK,Load_DE,Load_DK,Load_HU,Load_IT,Load_NE,Load_PO,Load_SE,Load_SP,Load_UK,green_energy_DE,green_energy_DK,green_energy_HU,green_energy_IT,green_energy_NE,green_energy_PO,green_energy_SE,green_energy_SP,green_energy_UK,surplus_DE,surplus_DK,surplus_HU,surplus_IT,surplus_NE,surplus_PO,surplus_SE,surplus_SP,surplus_UK,target
2022-02-06 15:00:00,19205.0,888.0,531.0,560.0,60.0,142.0,,502.0,,88.0,,0.0,655.0,,,,0.0,,11282.0,,,1566.0,,527.0,,,,3716.0,,52.0,2174.0,0.0,290.0,,574.0,,184.0,,64.0,356.0,,50.0,9374.0,1254.0,,,,,,,,0.0,0.0,,492.0,,50.0,,,,,100.0,,803.0,3.0,68.0,47.0,23.0,3.0,0.0,4153.0,,18857.0,1429.0,,,8331.0,,,0.0,,149385.0,1330.0,322.0,2266.0,8202.0,5908.0,3653.0,4591.0,1843.0,240562.0,5023.0,22294.0,30572.0,53555.0,19829.0,20215.0,24731.0,1841.0,204012.0,3650.0,1087.0,7624.0,16616.0,6920.0,13027.0,11174.0,1843.0,-36550.0,-1373.0,-21207.0,-22948.0,-36939.0,-12909.0,-7188.0,-13557.0,2.0,UK
2022-09-26 21:00:00,17681.0,331.0,387.0,651.0,64.0,96.0,,340.0,,92.0,,0.0,624.0,,,,0.0,,352.0,,,23.0,,0.0,,,,5380.0,,40.0,1379.0,0.0,109.0,,412.0,,230.0,,40.0,21.0,,0.0,4657.0,2396.0,,,,,,,,,0.0,,372.0,,45.0,,,,,88.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.0,,13612.0,1476.0,,2.0,8547.0,,,0.0,,66160.0,594.0,8.0,4304.0,4571.0,2120.0,5053.0,6880.0,,190803.0,2970.0,18331.0,25876.0,45426.0,16390.0,11942.0,23964.0,,103879.0,2402.0,520.0,7004.0,13182.0,2325.0,9710.0,10384.0,,-86924.0,-568.0,-17811.0,-18872.0,-32244.0,-14065.0,-2232.0,-13580.0,,DK
2022-07-11 13:00:00,17155.0,381.0,503.0,672.0,116.0,203.0,,508.0,,48.0,,0.0,610.0,,,,0.0,,275.0,,,253.0,,0.0,,,,5183.0,,24.0,3359.0,0.0,99.0,,576.0,,291.0,,20.0,416.0,,0.0,9414.0,800.0,,,,,,,,,0.0,,360.0,,50.0,,,,,92.0,,88394.0,1358.0,4048.0,8137.0,593.0,2755.0,433.0,11872.0,,2225.0,268.0,,14.0,44.0,,,0.0,,14002.0,301.0,388.0,1379.0,421.0,2220.0,797.0,3800.0,,236710.0,4110.0,19743.0,43358.0,40567.0,20305.0,12941.0,35528.0,1579.0,127933.0,2308.0,5033.0,14840.0,1174.0,5277.0,10644.0,17648.0,,-108777.0,-1802.0,-14710.0,-28518.0,-39393.0,-15028.0,-2297.0,-17880.0,,DK
2022-11-26 14:00:00,18707.0,1085.0,598.0,724.0,75.0,273.0,,432.0,,84.0,,0.0,614.0,,,,0.0,,10381.0,,,280.0,,640.0,,,,4871.0,,60.0,3012.0,0.0,139.0,,1048.0,,197.0,,52.0,720.0,,0.0,10907.0,1448.0,,,,,,,,,0.0,,448.0,,52.0,,,,,80.0,,4021.0,1.0,44.0,98.0,56.0,3.0,0.0,9968.0,,9009.0,192.0,,19.0,4700.0,,,0.0,,14405.0,350.0,101.0,4976.0,3104.0,347.0,1655.0,3692.0,1746.0,205907.0,4139.0,21583.0,31410.0,48369.0,22352.0,17363.0,24840.0,,62123.0,1628.0,907.0,10443.0,7935.0,1402.0,12562.0,16668.0,1746.0,-143784.0,-2511.0,-20676.0,-20967.0,-40434.0,-20950.0,-4801.0,-8172.0,,DK
2022-07-29 16:00:00,18196.0,644.0,545.0,666.0,64.0,47.0,,440.0,,59.0,,0.0,614.0,,,,0.0,,14095.0,,,1248.0,,899.0,,,,5978.0,,12.0,5763.0,0.0,131.0,,540.0,,632.0,,20.0,872.0,,34.0,10403.0,596.0,,,,,,,,,0.0,,360.0,,42.0,,,,,92.0,,22370.0,279.0,819.0,743.0,533.0,565.0,61.0,11008.0,,7926.0,456.0,,0.0,1956.0,,,0.0,,24294.0,360.0,190.0,758.0,1191.0,1577.0,376.0,5912.0,,223307.0,3573.0,22385.0,42958.0,43282.0,20493.0,12074.0,33232.0,,93910.0,1739.0,1628.0,10664.0,3744.0,3253.0,10840.0,18588.0,,-129397.0,-1834.0,-20757.0,-32294.0,-39538.0,-17240.0,-1234.0,-14644.0,,SE
2022-03-15 08:00:00,19529.0,1058.0,635.0,646.0,176.0,191.0,,474.0,,80.0,,0.0,625.0,,,,0.0,,8911.0,,,279.0,,0.0,,,,3783.0,,53.0,2001.0,0.0,204.0,,1041.0,,361.0,,56.0,100.0,,0.0,10546.0,4121.0,,,,,,,,,0.0,,716.0,,56.0,,,,,103.0,,34310.0,332.0,4947.0,7212.0,132.0,3187.0,256.0,1691.0,,2117.0,197.0,,,338.0,,,0.0,,8621.0,153.0,223.0,1685.0,426.0,228.0,788.0,13115.0,1071.0,276147.0,4982.0,16883.0,42454.0,54884.0,22603.0,18624.0,32014.0,2036.0,78428.0,1740.0,5970.0,12548.0,1072.0,3810.0,11590.0,20545.0,1071.0,-197719.0,-3242.0,-10913.0,-29906.0,-53812.0,-18793.0,-7034.0,-11469.0,-965.0,UK
2022-05-24 17:00:00,18984.0,406.0,438.0,480.0,80.0,237.0,,392.0,,104.0,,0.0,626.0,,,,0.0,,22078.0,,,715.0,,712.0,,,,7201.0,,52.0,5799.0,0.0,174.0,,860.0,,1228.0,,56.0,866.0,,53.0,6146.0,1280.0,,,,,,,,,0.0,,372.0,,56.0,,,,,108.0,,10944.0,58.0,152.0,46.0,203.0,97.0,7.0,6020.0,,15420.0,726.0,,,3107.0,,,0.0,,35051.0,1076.0,207.0,2616.0,2166.0,1350.0,4887.0,10948.0,,239798.0,3900.0,21427.0,38113.0,47969.0,21739.0,13866.0,28188.0,1952.0,111382.0,2266.0,961.0,11148.0,5556.0,2623.0,11040.0,19608.0,,-128416.0,-1634.0,-20466.0,-26965.0,-42413.0,-19116.0,-2826.0,-8580.0,,DK
2022-01-20 05:00:00,18490.0,818.0,592.0,577.0,40.0,234.0,,495.0,,106.0,,4.0,602.0,,,,0.0,,3912.0,,,141.0,,26.0,,,,4583.0,,56.0,3246.0,0.0,184.0,,878.0,,358.0,,40.0,390.0,,14.0,7222.0,3045.0,,,,,,,,0.0,0.0,,668.0,,37.0,,,,,95.0,,0.0,1.0,0.0,56.0,0.0,3.0,0.0,35.0,,20470.0,2083.0,,,8485.0,,,0.0,,135134.0,3211.0,257.0,3007.0,7146.0,6285.0,9844.0,7139.0,,276082.0,5449.0,25829.0,40602.0,52334.0,23814.0,21565.0,32484.0,1325.0,183721.0,6113.0,986.0,8019.0,15671.0,6746.0,17066.0,11687.0,,-92361.0,664.0,-24843.0,-32583.0,-36663.0,-17068.0,-4499.0,-20797.0,,DK
2022-04-22 15:00:00,18730.0,65.0,622.0,567.0,0.0,195.0,,508.0,,101.0,,0.0,631.0,,,,0.0,,1801.0,,,1110.0,,169.0,,,,4890.0,,44.0,2811.0,0.0,232.0,,1198.0,,305.0,,32.0,586.0,,0.0,7795.0,1828.0,,,,,,,,,0.0,,528.0,,60.0,,,,,112.0,,37157.0,431.0,358.0,1141.0,532.0,898.0,96.0,2438.0,,18539.0,1377.0,,,8973.0,,,0.0,,93335.0,1759.0,314.0,3518.0,5729.0,2554.0,2414.0,8113.0,,248422.0,4049.0,22789.0,36242.0,48961.0,22379.0,13962.0,28037.0,1754.0,175386.0,3632.0,1430.0,10364.0,15234.0,4048.0,10305.0,14197.0,,-73036.0,-417.0,-21359.0,-25878.0,-33727.0,-18331.0,-3657.0,-13840.0,,DK
2022-08-08 02:00:00,16505.0,391.0,560.0,623.0,64.0,91.0,,448.0,,95.0,,0.0,614.0,,,,0.0,,147.0,,,0.0,,0.0,,,,4480.0,,16.0,2274.0,0.0,103.0,,496.0,,298.0,,20.0,376.0,,0.0,7997.0,332.0,,,,,,,,,0.0,,352.0,,35.0,,,,,88.0,,0.0,2.0,0.0,0.0,4.0,61.0,3.0,520.0,,933.0,98.0,,16.0,210.0,,,0.0,,9799.0,159.0,150.0,1518.0,490.0,382.0,1145.0,4360.0,,155650.0,2874.0,14723.0,24815.0,39683.0,14382.0,10570.0,21436.0,,32609.0,650.0,781.0,5421.0,768.0,637.0,9145.0,6244.0,,-123041.0,-2224.0,-13942.0,-19394.0,-38915.0,-13745.0,-1425.0,-15192.0,,SE
